dear snow evil
none lived deal
thus draw saints
death strait spot
part scar meat
state dread mood
seldom slow stop
flow mates plums
west slain reed
dust stead pool
reward tied spice
guns steam dame
eluded spots sales
nail rail wines
tour bard edified
dates reared spit
reduces speed send
leper reap bust
snap start lave
bats morn signed
pools rowed what
solo section laid
star sent detains
tested disk deliver
loaf keels sate
surf gums seal
leap spat cinema
sear pooh skins
step much tenons
sheath tints lever
nuts sooth tend
lease paws skin
sing spare garb
golf slower dues
straw gash till
plug smash drop
dearer reel novels
parts ripens eats
slates swath time
snare sheet tool
trig room duties
ragged grip slap
dapper sleep grips
rigged said stressed
maid ripped routed
dimmer pique yard
tide drag duffer
smear ogre signet
tang swallow ovals
stink edges thin
smite span serves
this near emir
soils plum door
gals aimed seat
loops sown salted
grub yarn slay
soil ship avid
regal spear free
news dual each
swam slid oils
shut spin steaks
roman traps deep
spar circle secants
sore fires name
secured worth spans
pins mate scan
rate side spins
spun buns pale
sober trot sham
shop mart flesh
stag sway rage
