When you are *unable* to find *comfort*.
When a king wants to say important things, he writes his *pronouns* in *cement*.
If your mother reads your *diary*, you can leave another *version* of it lying around as this kind of tactic.
I *sing* a happy song to drown out my memory of the killer's *laughter* as he was doing this to his victims.
If your suitcase has a hidden *part*, you shouldn't *comment* on it when you go through customs.
I *predict* you will say *amen* when you get out of this.
He blames a *deity* for giving him such a hideous *form*.
Although it turned him into a *scaly* *thing*, he still thinks the plan was this brilliant.
This kind of *ship* no longer needed *teams* of sailors to climb the rigging.
When the crooked man found two *pence* next to the crooked *stile*, he didn't know the germs on them would bring this to his home.
By the king's *order*, all his subjects must be completely *bland* or he will banish them there.
If things are in straight *lines*, this *disorders* them.
He's so handsome, he can form a *posse* without *pressing* the cowboys very hard.
If this *shooter* aims at you, you'll soon be playing *harps*.
The *rise* of Darwin's theory of *evolution* did this to biology.
There was no connection between the *incident* at the *coal* mine and the president's visit.
He *weeps* when he loses a contest, because the *stakes* are too high.
How a hockey *net* seems *magically* attached to the ice.
I hope you can *train* the *rest* of the class to show such self control.
When you really want to *edit* something about your *mate*, do this instead.
How he pouted when his dinner was served on a *chilly* *dish*.
Wilt *thou* go with me to this place, and set your life's *course* with mine.
Today I *sow* the seeds that will grow into a *wall* of wheat, which will make bread for me to...
What you have to be before you can be *seen* at an *event* like your senior prom.
He *once* *cited* his own blog as an authoritative source on fashion advice.
God *bless* the *lame*, for the fault is not theirs.
On a warm day in the *park*, it's the reason I prefer champagne over a Singapore *Sling*.
lucid eating
roving apply
familiar unity
headers quart
hinders quart
ion contradicts
completing men
centers time
unified just
strings hoes
vacations ill
cat certifies
ratio opens
paces suits
pit precious
lash flight
fly rightful
ascent dole
char surged
don parable
heating sit
tin absence
table race
early nest
open ratio
rain bless
hears real
paces ship
curly rent
carry pent
sigh overt
well jeers
sling wind
numb outer
sighted shortness
real presentation
mission comers
honour disable
unity familiar
deal nomination
posse pressing
evolution rise
wholeness some
inability viol
comer mission
pressed posse
newsmen paper
agree disable
disable honor
deified humid
con renaissance
con subtracting
sup preposition
preposition dis
southern east
west southern
creation real
northern west
east northern
assuring rely
table reason
matter sings
speak louder
force enable
men completing
comers plain
sub inordinate
recovering dis
reductions pro
header quart
coloration lab
wrest etched
comment part
seventh teen
comment port
sleeper walk
mast posters
grander moth
mail blacker
pro reduction
con insistent
con inclusive
uncovered dis
insoluble dis
lab reconcile
tho medically
refer pence
press comes
outer field
overt weigh
colon ratio
opera cotes
center time
beings long
perforce man
doctrine air
liar family
draw withal
stress dies
unseen fore
porous tent
teen fourth
eighth teen
make homers
acting quit
weight ties
pro reaching
pro reducing
signed rely
resent pond
tan accounts
protests tan
contests tan
dial vision
mast header
comers fort
optional era
poster mast
normal ably
ally arming
onto curing
dis recovery
dies scours
canted oven
scored boar
sine busses
string hoes
overhang gin
boar pasted
intern wove
logged rhea
stripe teas
backer slid
wearing the
fearing the
ten consist
eat entries
pro reached
persist ten
seventh tie
belongs gin
classes mat
consume mat
notable ice
reduced pro
account tan
tan results
tan protest
tan inhabit
instant con
pricing act
content sis
fearing orb
pro reaches
gin prolong
consult tan
ice notably
par seating
ant confide
bit backers
fishing urn
ani station
disable put
can hurries
piously rev
privies leg
tho medical
posters lye
rig bandage
oration din
reduces pro
dis recover
ion peering
slights pot
tresses pas
watcher tow
spa tresses
assists tan
ranking sac
leasing ply
spa ditches
best right
aside long
pass comes
inner keep
might ties
sings well
sings hill
make homer
ever sally
ties heart
ship teams
side rents
acted quit
liver deer
form deity
nigh overt
piers last
fight ores
fifth teen
teen sixth
bring ante
fens right
arrow nest
weep sings
trust ties
ties sport
paces suit
shape hips
cling chin
rack cling
sling trip
huff sling
surge rent
chin fling
sower hall
fort comer
sling tart
port super
laps stick
seers afar
bide roads
eight hens
ides steps
stile holy
surer rend
arson page
hold beers
hoot sings
bees witch
sleet pies
oral mists
crib prose
ills hides
pang sling
amity oral
verge dint
pent stile
dent inure
pore coral
sling cuff
mates edit
edit mated
nite pence
purr chase
rime peter
fare sears
beers wild
bran fired
dens cones
boar sided
media cons
naps shots
beers tray
the feared
though met
eating man
prices act
the boring
gantry all
had sowing
sourly the
slight pot
offers end
artery ill
insist ten
gin spring
belong gin
heated sit
though bet
import tan
par seated
kingly now
die scours
the wiring
enable joy
die grants
tar slight
pro reduce
result tan
tan expect
tan assist
sit denies
innate car
era option
act priced
put comers
ply resent
men tenets
barter end
basted all
eighth tie
string gin
ill bowing
gin throng
per resent
repent tan
tan resist
combat tan
car scored
pantry age
bun trials
act comply
tag shores
miners ill
apt curing
ear clings
livest lie
ray portal
dining eta
likest lie
fishes urn
fished urn
old hovers
intent sis
latter fer
sac ranked
singly par
relics pub
brutes net
peered ion
pester rot
lye poster
tar slings
nab defile
vented era
tip anodes
envies sag
inmate ani
tester rim
fall been
fish ever
call over
best road
lack best
ever rent
side rent
holy nest
dish evil
over cage
rend ever
less amen
beer hold
loss coal
seas dies
deer sign
sped trip
went ties
hose thou
rely cent
cant oven
shed heat
gone wars
beer wild
arch sees
born fore
bade lock
thin frog
real butt
near lily
none whit
pier last
mine doer
ills hide
rest mote
dime sent
thin clog
well jeer
sent ably
over rhea
post ales
lean cups
dies hart
mist oral
sped trap
dirt ties
tray beer
lung chin
deer cant
bout lack
lips shod
gate lees
ties loft
lint game
fail ores
ides show
shed moot
shin flag
edit mate
mica able
sine buss
cone dens
rely mote
dole rent
pest lain
bled rind
rack bets
bets lank
tick spin
bred ante
piss tile
boar lard
stag hoes
nite pent
pats trio
sped crap
ores deft
fist hies
shin slag
ares rang
mica ably
swig shin
bast sine
the fears
wired the
act price
dying all
thing kin
bored the
comes put
kings now
end offer
eight yes
reach per
bless one
too plans
shows all
grant die
her cries
had sings
bring gin
sly light
wears the
hymen and
sowed had
all broom
tying all
piers one
the cater
hen eight
ten exist
net magic
forth tie
firms ear
route let
sings how
ass pages
old drums
cited red
sting nor
tries but
eat tries
ten ports
pro reach
cable all
man gourd
comer put
war fords
mated and
cones not
can deter
she frets
later ugh
fared the
ear forms
bowed ill
reign ass
wings inn
lover lie
bones fir
plain ant
tie fifth
liver lie
orb fears
quest ere
gin swing
hangs gin
sting pit
owl lands
comes bin
tar sting
grape hit
cling raw
cling gin
apt cured
defer end
comes par
rev pious
rig bands
sling tea
bun trial
pants end
age pants
pants tie
least fie
hoary nor
ate wring
shore tag
rents age
set trump
warts ran
drags win
ill miner
natal ion
coons art
bulks war
ore mover
tho house
sixth tie
bathe rob
sow dined
ass crest
pot sting
sting mar
sting gin
kin sting
sting hut
bin cares
flock ore
farms ore
weeds ken
comes pet
cling odd
kin cling
chest ape
rim prose
sling cow
gin sling
gin fling
hop sworn
ire farms
kin clang
media con
wring gin
tag vines
fired woo
apt cures
relic pub
peers ion
regal ion
shred owe
meted ark
tin slang
cones sum
cones fin
dun ratio
dined eta
urn faces
sling amp
ill feted
manes chi
moles ass
opted era
ditch spa
fates rig
tap sling
tar sling
gin clang
sable ale
colds ore
err tiers
dents via
pails rev
tan exult
ear drier
err feted
